y_pred_hmm_multi_state,y_pred_hmm_one_state,y_test,y_pred_glm,error_hmm_ms,error_hmm_os,error_glm,error_glm_rounded,error_hmm_ms_rounded,error_hmm_os_rounded
0.119929224,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.4427181,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.2704289,0.000266478,0,1,0.0,0.0,1,1,0,0
0.119929224,0.0018495432,4,1,-4.0,-4.0,-3,-3,-4,-4
0.35122335,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.19146219,0.000266478,0,1,0.0,0.0,1,1,0,0
0.23352373,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
1.0516639,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.681092,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.056347422,0.00021572967,0,1,0.0,0.0,1,1,0,0
1.0516639,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.055038095,0.00021572967,1,1,-1.0,-1.0,0,0,-1,-1
0.056347422,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.22337799,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.15406564,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.4998577,0.00082397077,3,1,-3.0,-3.0,-2,-2,-3,-3
0.2704289,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.4427181,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.62268287,0.00019281147,0,1,1.0,0.0,1,1,1,0
0.7657261,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.12573297,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.11469324,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.6415685,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.417125,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.2851737,0.000266478,0,1,0.0,0.0,1,1,0,0
0.22337799,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
0.35122335,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.47022456,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.37144986,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.35582808,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
0.053857077,0.00021572967,2,1,-2.0,-2.0,-1,-1,-2,-2
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
1.0020081,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.722519,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.810558,0.0011534608,4,1,-3.0,-4.0,-3,-3,-3,-4
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.5689478,0.00082397077,2,1,-1.0,-2.0,-1,-1,-1,-2
0.119929224,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.3003109,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.810558,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.11206641,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.19146219,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.053857077,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.119929224,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.0959793,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
1.3732252,2.400095,0,1,1.0,2.0,1,1,1,2
0.35122335,0.0002350447,2,1,-2.0,-2.0,-1,-1,-2,-2
0.109972686,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.109972686,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.47022456,0.0002350447,2,1,-2.0,-2.0,-1,-1,-2,-2
0.47835183,0.00082397077,0,1,0.0,0.0,1,1,0,0
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.5689478,0.00082397077,1,1,0.0,-1.0,0,0,0,-1
0.053857077,0.00021572967,1,1,-1.0,-1.0,0,0,-1,-1
0.15406564,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.6464094,0.00019281147,3,1,-2.0,-3.0,-2,-2,-2,-3
0.19146219,0.000266478,0,1,0.0,0.0,1,1,0,0
1.3732252,2.400095,3,1,-2.0,-1.0,-2,-2,-2,-1
0.722519,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.37640673,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
0.055038095,0.00021572967,1,1,-1.0,-1.0,0,0,-1,-1
0.05779864,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.722519,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.053857077,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.67044383,0.00019281147,0,1,1.0,0.0,1,1,1,0
0.20221385,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.055038095,0.00021572967,1,1,-1.0,-1.0,0,0,-1,-1
0.10571945,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.24469115,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
0.2704289,0.000266478,0,1,0.0,0.0,1,1,0,0
0.1037658,3.108186e-05,0,1,0.0,0.0,1,1,0,0
0.1037658,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.14827378,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.722519,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.18330798,2.7415494e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.053857077,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.35122335,0.0002350447,0,1,0.0,0.0,1,1,0,0
0.2704289,0.000266478,0,1,0.0,0.0,1,1,0,0
0.2141735,0.000266478,4,1,-4.0,-4.0,-3,-3,-4,-4
0.35582808,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.19828586,0.000266478,2,1,-2.0,-2.0,-1,-1,-2,-2
0.0959793,3.108186e-05,1,1,-1.0,-1.0,0,0,-1,-1
0.49968225,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.053857077,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.18330798,2.7415494e-05,0,1,0.0,0.0,1,1,0,0
0.12573297,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.722519,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.19236553,2.7415494e-05,2,1,-2.0,-2.0,-1,-1,-2,-2
0.05279201,0.00021572967,0,1,0.0,0.0,1,1,0,0
1.0020081,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.1037658,3.108186e-05,2,1,-2.0,-2.0,-1,-1,-2,-2
0.05279201,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.3003109,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.2704289,0.000266478,0,1,0.0,0.0,1,1,0,0
1.3259287,2.400095,4,1,-3.0,-2.0,-3,-3,-3,-2
0.22337799,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.05779864,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.10571945,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.053857077,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.12573297,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.10571945,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.39339125,0.0002350447,2,1,-2.0,-2.0,-1,-1,-2,-2
0.05279201,0.00021572967,2,1,-2.0,-2.0,-1,-1,-2,-2
0.055038095,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.053857077,0.00021572967,2,1,-2.0,-2.0,-1,-1,-2,-2
0.05779864,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.10571945,0.0018495432,0,1,0.0,0.0,1,1,0,0
0.24102157,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.54524654,0.00082397077,0,1,1.0,0.0,1,1,1,0
0.119929224,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.10571945,0.0018495432,3,1,-3.0,-3.0,-2,-2,-3,-3
0.05279201,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.05279201,0.00021572967,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,1,1,-1.0,-1.0,0,0,-1,-1
0.2851737,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.05279201,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.101889335,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.2704289,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.11206641,3.108186e-05,0,1,0.0,0.0,1,1,0,0
1.5707287,2.4977822,3,1,-1.0,-1.0,-2,-2,-1,-1
0.35582808,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.10571945,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.109972686,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.4998577,0.00082397077,3,1,-3.0,-3.0,-2,-2,-3,-3
1.5265223,2.4977822,1,1,1.0,1.0,0,0,1,1
0.417125,0.0002350447,1,1,-1.0,-1.0,0,0,-1,-1
0.05279201,0.00021572967,2,1,-2.0,-2.0,-1,-1,-2,-2
0.05279201,0.00021572967,0,1,0.0,0.0,1,1,0,0
0.7657261,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.101889335,0.0018495432,2,1,-2.0,-2.0,-1,-1,-2,-2
0.332627,0.0002350447,3,1,-3.0,-3.0,-2,-2,-3,-3
0.20583358,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.5311096,0.0002350447,3,1,-2.0,-3.0,-2,-2,-2,-3
0.8568286,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.2851737,0.000266478,1,1,-1.0,-1.0,0,0,-1,-1
0.109972686,0.0018495432,3,1,-3.0,-3.0,-2,-2,-3,-3
